YEAR,MONTH,DATE,GRADE,PRICE_PER_KG,MARKET,STATE,DISTRICT,VOLUME_TONNES,TREND,MIN_PRICE,MAX_PRICE,OPEN_PRICE,CLOSE_PRICE
2015,6,2015-06-15,RSS-4,118.60,Kottayam,Kerala,Kottayam,7200,Falling,116.20,121.00,122.00,118.60
2015,6,2015-06-15,RSS-3,126.80,Kottayam,Kerala,Kottayam,2100,Falling,124.40,129.20,130.00,126.80
2015,6,2015-06-15,RSS-5,111.80,Kottayam,Kerala,Kottayam,1300,Falling,109.60,114.00,115.20,111.80
2015,6,2015-06-15,ISNR-20,108.60,Kottayam,Kerala,Kottayam,1600,Falling,106.40,110.80,112.00,108.60
2015,6,2015-06-15,Latex,133.00,Kottayam,Kerala,Kottayam,3500,Falling,130.60,135.40,136.40,133.00
2015,6,2015-06-15,RSS-4,117.10,Changanacherry,Kerala,Kottayam,3200,Falling,114.80,119.40,120.50,117.10
2015,6,2015-06-15,RSS-4,116.70,Palai,Kerala,Idukki,2800,Falling,114.40,119.00,120.10,116.70
2015,6,2015-06-15,RSS-4,117.30,Thodupuzha,Kerala,Idukki,2600,Falling,115.00,119.60,120.70,117.30
2015,6,2015-06-15,RSS-4,119.10,Kochi,Kerala,Ernakulam,4800,Falling,116.80,121.40,122.50,119.10
2015,6,2015-06-15,RSS-4,116.30,Thrissur,Kerala,Thrissur,2300,Falling,114.00,118.60,119.70,116.30
2015,6,2015-06-15,RSS-4,115.60,Kozhikode,Kerala,Kozhikode,1800,Falling,113.30,117.90,119.00,115.60
2015,7,2015-07-15,RSS-4,115.30,Kottayam,Kerala,Kottayam,6500,Falling,113.00,117.60,118.20,115.30
2015,7,2015-07-15,RSS-3,123.50,Kottayam,Kerala,Kottayam,1900,Falling,121.20,125.80,126.40,123.50
2015,7,2015-07-15,RSS-5,108.50,Kottayam,Kerala,Kottayam,1200,Falling,106.30,110.70,111.40,108.50
2015,7,2015-07-15,ISNR-20,105.30,Kottayam,Kerala,Kottayam,1500,Falling,103.10,107.50,108.20,105.30
2015,7,2015-07-15,Latex,129.60,Kottayam,Kerala,Kottayam,3300,Falling,127.30,131.90,132.60,129.60
2015,7,2015-07-15,RSS-4,113.80,Changanacherry,Kerala,Kottayam,3000,Falling,111.50,116.10,116.70,113.80
2015,7,2015-07-15,RSS-4,113.40,Palai,Kerala,Idukki,2600,Falling,111.10,115.70,116.30,113.40
2015,7,2015-07-15,RSS-4,114.00,Thodupuzha,Kerala,Idukki,2400,Falling,111.70,116.30,116.90,114.00
2015,7,2015-07-15,RSS-4,115.80,Kochi,Kerala,Ernakulam,4600,Falling,113.50,118.10,118.70,115.80
2015,7,2015-07-15,RSS-4,113.00,Thrissur,Kerala,Thrissur,2100,Falling,110.70,115.30,115.90,113.00
2015,7,2015-07-15,RSS-4,112.30,Kozhikode,Kerala,Kozhikode,1600,Falling,110.00,114.60,115.20,112.30
2015,8,2015-08-15,RSS-4,108.70,Kottayam,Kerala,Kottayam,6800,Falling,106.40,111.00,114.90,108.70
2015,8,2015-08-15,RSS-3,116.80,Kottayam,Kerala,Kottayam,2000,Falling,114.50,119.10,123.10,116.80
2015,8,2015-08-15,RSS-5,101.90,Kottayam,Kerala,Kottayam,1300,Falling,99.70,104.10,108.10,101.90
2015,8,2015-08-15,ISNR-20,98.70,Kottayam,Kerala,Kottayam,1600,Falling,96.50,100.90,104.90,98.70
2015,8,2015-08-15,Latex,122.80,Kottayam,Kerala,Kottayam,3400,Falling,120.50,125.10,129.20,122.80
2015,8,2015-08-15,RSS-4,107.20,Changanacherry,Kerala,Kottayam,3100,Falling,104.90,109.50,113.40,107.20
2015,8,2015-08-15,RSS-4,106.80,Palai,Kerala,Idukki,2700,Falling,104.50,109.10,113.00,106.80
2015,8,2015-08-15,RSS-4,107.40,Thodupuzha,Kerala,Idukki,2500,Falling,105.10,109.70,113.60,107.40
2015,8,2015-08-15,RSS-4,109.20,Kochi,Kerala,Ernakulam,4700,Falling,106.90,111.50,115.40,109.20
2015,8,2015-08-15,RSS-4,106.40,Thrissur,Kerala,Thrissur,2200,Falling,104.10,108.70,112.60,106.40
2015,8,2015-08-15,RSS-4,105.70,Kozhikode,Kerala,Kozhikode,1700,Falling,103.40,108.00,111.90,105.70
2015,9,2015-09-15,RSS-4,105.40,Kottayam,Kerala,Kottayam,8200,Falling,103.10,107.70,108.30,105.40
2015,9,2015-09-15,RSS-3,113.50,Kottayam,Kerala,Kottayam,2200,Falling,111.20,115.80,116.40,113.50
2015,9,2015-09-15,RSS-5,98.60,Kottayam,Kerala,Kottayam,1400,Falling,96.40,100.80,101.50,98.60
2015,9,2015-09-15,ISNR-20,95.40,Kottayam,Kerala,Kottayam,1700,Falling,93.20,97.60,98.30,95.40
2015,9,2015-09-15,Latex,119.50,Kottayam,Kerala,Kottayam,3600,Falling,117.20,121.80,122.40,119.50
2015,9,2015-09-15,RSS-4,103.90,Changanacherry,Kerala,Kottayam,3300,Falling,101.60,106.20,106.80,103.90
2015,9,2015-09-15,RSS-4,103.50,Palai,Kerala,Idukki,2900,Falling,101.20,105.80,106.40,103.50
2015,9,2015-09-15,RSS-4,104.10,Thodupuzha,Kerala,Idukki,2700,Falling,101.80,106.40,107.00,104.10
2015,9,2015-09-15,RSS-4,105.90,Kochi,Kerala,Ernakulam,4900,Falling,103.60,108.20,108.80,105.90
2015,9,2015-09-15,RSS-4,103.10,Thrissur,Kerala,Thrissur,2400,Falling,100.80,105.40,106.00,103.10
2015,9,2015-09-15,RSS-4,102.40,Kozhikode,Kerala,Kozhikode,1900,Falling,100.10,104.70,105.30,102.40
2015,10,2015-10-15,RSS-4,102.80,Kottayam,Kerala,Kottayam,10500,Falling,100.50,105.10,105.00,102.80
2015,10,2015-10-15,RSS-3,110.90,Kottayam,Kerala,Kottayam,2800,Falling,108.60,113.20,113.10,110.90
2015,10,2015-10-15,RSS-5,96.00,Kottayam,Kerala,Kottayam,1600,Falling,93.80,98.20,98.20,96.00
2015,10,2015-10-15,ISNR-20,92.80,Kottayam,Kerala,Kottayam,1900,Falling,90.60,95.00,95.00,92.80
2015,10,2015-10-15,Latex,116.90,Kottayam,Kerala,Kottayam,3800,Falling,114.60,119.20,119.10,116.90
2015,10,2015-10-15,RSS-4,101.30,Changanacherry,Kerala,Kottayam,3600,Falling,99.00,103.60,103.50,101.30
2015,10,2015-10-15,RSS-4,100.90,Palai,Kerala,Idukki,3200,Falling,98.60,103.20,103.10,100.90
2015,10,2015-10-15,RSS-4,101.50,Thodupuzha,Kerala,Idukki,3000,Falling,99.20,103.80,103.70,101.50
2015,10,2015-10-15,RSS-4,103.30,Kochi,Kerala,Ernakulam,5200,Falling,101.00,105.60,105.50,103.30
2015,10,2015-10-15,RSS-4,100.50,Thrissur,Kerala,Thrissur,2700,Falling,98.20,102.80,102.70,100.50
2015,10,2015-10-15,RSS-4,99.80,Kozhikode,Kerala,Kozhikode,2200,Falling,97.50,102.10,102.00,99.80
2015,11,2015-11-15,RSS-4,98.50,Kottayam,Kerala,Kottayam,12800,Falling,96.20,100.80,102.40,98.50
2015,11,2015-11-15,RSS-3,106.60,Kottayam,Kerala,Kottayam,3400,Falling,104.30,108.90,110.50,106.60
2015,11,2015-11-15,RSS-5,91.70,Kottayam,Kerala,Kottayam,1800,Falling,89.50,93.90,95.60,91.70
2015,11,2015-11-15,ISNR-20,88.50,Kottayam,Kerala,Kottayam,2100,Falling,86.30,90.70,92.40,88.50
2015,11,2015-11-15,Latex,112.60,Kottayam,Kerala,Kottayam,4000,Falling,110.30,114.90,116.50,112.60
2015,11,2015-11-15,RSS-4,97.00,Changanacherry,Kerala,Kottayam,3900,Falling,94.70,99.30,100.90,97.00
2015,11,2015-11-15,RSS-4,96.60,Palai,Kerala,Idukki,3500,Falling,94.30,98.90,100.50,96.60
2015,11,2015-11-15,RSS-4,97.20,Thodupuzha,Kerala,Idukki,3300,Falling,94.90,99.50,101.10,97.20
2015,11,2015-11-15,RSS-4,99.00,Kochi,Kerala,Ernakulam,5600,Falling,96.70,101.30,102.90,99.00
2015,11,2015-11-15,RSS-4,96.20,Thrissur,Kerala,Thrissur,3000,Falling,93.90,98.50,100.10,96.20
2015,11,2015-11-15,RSS-4,95.50,Kozhikode,Kerala,Kozhikode,2500,Falling,93.20,97.80,99.40,95.50
2015,12,2015-12-15,RSS-4,95.30,Kottayam,Kerala,Kottayam,14200,Falling,93.00,97.60,98.10,95.30
2015,12,2015-12-15,RSS-3,103.40,Kottayam,Kerala,Kottayam,3800,Falling,101.10,105.70,106.20,103.40
2015,12,2015-12-15,RSS-5,88.50,Kottayam,Kerala,Kottayam,2000,Falling,86.30,90.70,91.30,88.50
2015,12,2015-12-15,ISNR-20,85.30,Kottayam,Kerala,Kottayam,2300,Falling,83.10,87.50,88.10,85.30
2015,12,2015-12-15,Latex,109.40,Kottayam,Kerala,Kottayam,4200,Falling,107.10,111.70,112.20,109.40
2015,12,2015-12-15,RSS-4,93.80,Changanacherry,Kerala,Kottayam,4200,Falling,91.50,96.10,96.60,93.80
2015,12,2015-12-15,RSS-4,93.40,Palai,Kerala,Idukki,3800,Falling,91.10,95.70,96.20,93.40
2015,12,2015-12-15,RSS-4,94.00,Thodupuzha,Kerala,Idukki,3600,Falling,91.70,96.30,96.80,94.00
2015,12,2015-12-15,RSS-4,95.80,Kochi,Kerala,Ernakulam,6000,Falling,93.50,98.10,98.60,95.80
2015,12,2015-12-15,RSS-4,93.00,Thrissur,Kerala,Thrissur,3300,Falling,90.70,95.30,95.80,93.00
2015,12,2015-12-15,RSS-4,92.30,Kozhikode,Kerala,Kozhikode,2800,Falling,90.00,94.60,95.10,92.30
2016,1,2016-01-15,RSS-4,98.70,Kottayam,Kerala,Kottayam,13500,Rising,96.40,101.00,95.80,98.70
2016,1,2016-01-15,RSS-3,106.80,Kottayam,Kerala,Kottayam,3600,Rising,104.50,109.10,103.90,106.80
2016,1,2016-01-15,RSS-5,91.90,Kottayam,Kerala,Kottayam,1900,Rising,89.70,94.10,89.00,91.90
2016,1,2016-01-15,ISNR-20,88.70,Kottayam,Kerala,Kottayam,2200,Rising,86.50,90.90,85.80,88.70
2016,1,2016-01-15,Latex,112.80,Kottayam,Kerala,Kottayam,4100,Rising,110.50,115.10,109.90,112.80
2016,1,2016-01-15,RSS-4,97.20,Changanacherry,Kerala,Kottayam,4000,Rising,94.90,99.50,94.30,97.20
2016,1,2016-01-15,RSS-4,96.80,Palai,Kerala,Idukki,3600,Rising,94.50,99.10,93.90,96.80
2016,1,2016-01-15,RSS-4,97.40,Thodupuzha,Kerala,Idukki,3400,Rising,95.10,99.70,94.50,97.40
2016,1,2016-01-15,RSS-4,99.20,Kochi,Kerala,Ernakulam,5800,Rising,96.90,101.50,96.30,99.20
2016,1,2016-01-15,RSS-4,96.40,Thrissur,Kerala,Thrissur,3100,Rising,94.10,98.70,93.50,96.40
2016,1,2016-01-15,RSS-4,95.70,Kozhikode,Kerala,Kozhikode,2600,Rising,93.40,98.00,92.80,95.70
2016,2,2016-02-15,RSS-4,102.40,Kottayam,Kerala,Kottayam,12200,Rising,100.10,104.70,99.20,102.40
2016,2,2016-02-15,RSS-3,110.50,Kottayam,Kerala,Kottayam,3400,Rising,108.20,112.80,107.30,110.50
2016,2,2016-02-15,RSS-5,95.60,Kottayam,Kerala,Kottayam,1800,Rising,93.40,97.80,92.40,95.60
2016,2,2016-02-15,ISNR-20,92.40,Kottayam,Kerala,Kottayam,2100,Rising,90.20,94.60,89.20,92.40
2016,2,2016-02-15,Latex,116.50,Kottayam,Kerala,Kottayam,4000,Rising,114.20,118.80,113.30,116.50
2016,3,2016-03-15,RSS-4,108.60,Kottayam,Kerala,Kottayam,10800,Rising,106.30,110.90,102.90,108.60
2016,3,2016-03-15,RSS-3,116.70,Kottayam,Kerala,Kottayam,3200,Rising,114.40,119.00,111.00,116.70
2016,3,2016-03-15,RSS-5,101.80,Kottayam,Kerala,Kottayam,1700,Rising,99.60,104.00,96.10,101.80
2016,3,2016-03-15,ISNR-20,98.60,Kottayam,Kerala,Kottayam,2000,Rising,96.40,100.80,92.90,98.60
2016,3,2016-03-15,Latex,122.70,Kottayam,Kerala,Kottayam,3800,Rising,120.40,125.00,117.00,122.70
2016,4,2016-04-15,RSS-4,115.30,Kottayam,Kerala,Kottayam,9500,Rising,113.00,117.60,109.10,115.30
2016,4,2016-04-15,RSS-3,123.40,Kottayam,Kerala,Kottayam,3000,Rising,121.10,125.70,117.20,123.40
2016,4,2016-04-15,RSS-5,108.50,Kottayam,Kerala,Kottayam,1600,Rising,106.30,110.70,102.30,108.50
2016,4,2016-04-15,ISNR-20,105.30,Kottayam,Kerala,Kottayam,1900,Rising,103.10,107.50,99.10,105.30
2016,4,2016-04-15,Latex,129.40,Kottayam,Kerala,Kottayam,3600,Rising,127.10,131.70,123.20,129.40
2016,5,2016-05-15,RSS-4,122.50,Kottayam,Kerala,Kottayam,8800,Rising,120.20,124.80,115.80,122.50
2016,5,2016-05-15,RSS-3,130.60,Kottayam,Kerala,Kottayam,2800,Rising,128.30,132.90,123.90,130.60
2016,5,2016-05-15,RSS-5,115.70,Kottayam,Kerala,Kottayam,1500,Rising,113.50,117.90,109.00,115.70
2016,5,2016-05-15,ISNR-20,112.50,Kottayam,Kerala,Kottayam,1800,Rising,110.30,114.70,105.80,112.50
2016,5,2016-05-15,Latex,136.60,Kottayam,Kerala,Kottayam,3400,Rising,134.30,138.90,129.90,136.60
2016,6,2016-06-15,RSS-4,128.70,Kottayam,Kerala,Kottayam,7500,Rising,126.40,131.00,123.00,128.70
2016,6,2016-06-15,RSS-3,136.80,Kottayam,Kerala,Kottayam,2600,Rising,134.50,139.10,131.10,136.80
2016,6,2016-06-15,RSS-5,121.90,Kottayam,Kerala,Kottayam,1400,Rising,119.70,124.10,116.20,121.90
2016,6,2016-06-15,ISNR-20,118.70,Kottayam,Kerala,Kottayam,1700,Rising,116.50,120.90,113.00,118.70
2016,6,2016-06-15,Latex,142.80,Kottayam,Kerala,Kottayam,3200,Rising,140.50,145.10,137.10,142.80
2016,7,2016-07-15,RSS-4,135.40,Kottayam,Kerala,Kottayam,6800,Rising,133.10,137.70,129.20,135.40
2016,7,2016-07-15,RSS-3,143.50,Kottayam,Kerala,Kottayam,2400,Rising,141.20,145.80,137.30,143.50
2016,7,2016-07-15,RSS-5,128.60,Kottayam,Kerala,Kottayam,1300,Rising,126.40,130.80,122.40,128.60
2016,7,2016-07-15,ISNR-20,125.40,Kottayam,Kerala,Kottayam,1600,Rising,123.20,127.60,119.20,125.40
2016,7,2016-07-15,Latex,149.50,Kottayam,Kerala,Kottayam,3000,Rising,147.20,151.80,143.30,149.50
2016,8,2016-08-15,RSS-4,142.80,Kottayam,Kerala,Kottayam,7200,Rising,140.50,145.10,135.90,142.80
2016,8,2016-08-15,RSS-3,150.90,Kottayam,Kerala,Kottayam,2500,Rising,148.60,153.20,144.00,150.90
2016,8,2016-08-15,RSS-5,136.00,Kottayam,Kerala,Kottayam,1400,Rising,133.80,138.20,129.10,136.00
2016,8,2016-08-15,ISNR-20,132.80,Kottayam,Kerala,Kottayam,1700,Rising,130.60,135.00,125.90,132.80
2016,8,2016-08-15,Latex,156.90,Kottayam,Kerala,Kottayam,3200,Rising,154.60,159.20,150.00,156.90
2016,9,2016-09-15,RSS-4,148.50,Kottayam,Kerala,Kottayam,8500,Rising,146.20,150.80,143.30,148.50
2016,9,2016-09-15,RSS-3,156.60,Kottayam,Kerala,Kottayam,2700,Rising,154.30,158.90,151.40,156.60
2016,9,2016-09-15,RSS-5,141.70,Kottayam,Kerala,Kottayam,1500,Rising,139.50,143.90,136.50,141.70
2016,9,2016-09-15,ISNR-20,138.50,Kottayam,Kerala,Kottayam,1800,Rising,136.30,140.70,133.30,138.50
2016,9,2016-09-15,Latex,162.60,Kottayam,Kerala,Kottayam,3400,Rising,160.30,164.90,157.40,162.60
2016,10,2016-10-15,RSS-4,152.30,Kottayam,Kerala,Kottayam,10200,Rising,150.00,154.60,149.00,152.30
2016,10,2016-10-15,RSS-3,160.40,Kottayam,Kerala,Kottayam,3000,Rising,158.10,162.70,157.10,160.40
2016,10,2016-10-15,RSS-5,145.50,Kottayam,Kerala,Kottayam,1700,Rising,143.30,147.70,142.20,145.50
2016,10,2016-10-15,ISNR-20,142.30,Kottayam,Kerala,Kottayam,2000,Rising,140.10,144.50,139.00,142.30
2016,10,2016-10-15,Latex,166.40,Kottayam,Kerala,Kottayam,3700,Rising,164.10,168.70,163.10,166.40
2016,11,2016-11-15,RSS-4,145.60,Kottayam,Kerala,Kottayam,12500,Falling,143.30,147.90,151.80,145.60
2016,11,2016-11-15,RSS-3,153.70,Kottayam,Kerala,Kottayam,3400,Falling,151.40,156.00,159.90,153.70
2016,11,2016-11-15,RSS-5,138.80,Kottayam,Kerala,Kottayam,1900,Falling,136.60,141.00,145.00,138.80
2016,11,2016-11-15,ISNR-20,135.60,Kottayam,Kerala,Kottayam,2200,Falling,133.40,137.80,141.80,135.60
2016,11,2016-11-15,Latex,159.70,Kottayam,Kerala,Kottayam,4000,Falling,157.40,162.00,165.90,159.70
2016,12,2016-12-15,RSS-4,138.40,Kottayam,Kerala,Kottayam,13800,Falling,136.10,140.70,145.10,138.40
2016,12,2016-12-15,RSS-3,146.50,Kottayam,Kerala,Kottayam,3800,Falling,144.20,148.80,153.20,146.50
2016,12,2016-12-15,RSS-5,131.60,Kottayam,Kerala,Kottayam,2100,Falling,129.40,133.80,138.30,131.60
2016,12,2016-12-15,ISNR-20,128.40,Kottayam,Kerala,Kottayam,2400,Falling,126.20,130.60,135.10,128.40
2016,12,2016-12-15,Latex,152.50,Kottayam,Kerala,Kottayam,4200,Falling,150.20,154.80,159.20,152.50
2017,1,2017-01-15,RSS-4,142.70,Kottayam,Kerala,Kottayam,13200,Rising,140.40,145.00,138.90,142.70
2017,2,2017-02-15,RSS-4,148.30,Kottayam,Kerala,Kottayam,12000,Rising,146.00,150.60,143.20,148.30
2017,3,2017-03-15,RSS-4,145.60,Kottayam,Kerala,Kottayam,10500,Falling,143.30,147.90,147.80,145.60
2017,4,2017-04-15,RSS-4,138.80,Kottayam,Kerala,Kottayam,9000,Falling,136.50,141.10,145.10,138.80
2017,5,2017-05-15,RSS-4,132.50,Kottayam,Kerala,Kottayam,8200,Falling,130.20,134.80,138.30,132.50
2017,6,2017-06-15,RSS-4,128.70,Kottayam,Kerala,Kottayam,7000,Falling,126.40,131.00,132.00,128.70
2017,7,2017-07-15,RSS-4,125.40,Kottayam,Kerala,Kottayam,6500,Falling,123.10,127.70,128.20,125.40
2017,8,2017-08-15,RSS-4,118.60,Kottayam,Kerala,Kottayam,6800,Falling,116.30,120.90,124.90,118.60
2017,9,2017-09-15,RSS-4,122.30,Kottayam,Kerala,Kottayam,8000,Rising,120.00,124.60,119.10,122.30
2017,10,2017-10-15,RSS-4,128.50,Kottayam,Kerala,Kottayam,9800,Rising,126.20,130.80,122.80,128.50
2017,11,2017-11-15,RSS-4,132.80,Kottayam,Kerala,Kottayam,11500,Rising,130.50,135.10,129.00,132.80
2017,12,2017-12-15,RSS-4,128.40,Kottayam,Kerala,Kottayam,12800,Falling,126.10,130.70,132.30,128.40
2018,1,2018-01-15,RSS-4,125.60,Kottayam,Kerala,Kottayam,12500,Falling,123.30,127.90,127.90,125.60
2018,2,2018-02-15,RSS-4,122.30,Kottayam,Kerala,Kottayam,11200,Falling,120.00,124.60,125.10,122.30
2018,3,2018-03-15,RSS-4,118.70,Kottayam,Kerala,Kottayam,10000,Falling,116.40,121.00,121.80,118.70
2018,4,2018-04-15,RSS-4,115.40,Kottayam,Kerala,Kottayam,8800,Falling,113.10,117.70,118.20,115.40
2018,5,2018-05-15,RSS-4,112.80,Kottayam,Kerala,Kottayam,8000,Falling,110.50,115.10,114.90,112.80
2018,6,2018-06-15,RSS-4,108.50,Kottayam,Kerala,Kottayam,6800,Falling,106.20,110.80,112.30,108.50
2018,7,2018-07-15,RSS-4,105.30,Kottayam,Kerala,Kottayam,6200,Falling,103.00,107.60,108.00,105.30
2018,8,2018-08-15,RSS-4,118.70,Kottayam,Kerala,Kottayam,5500,Rising,116.40,121.00,105.80,118.70
2018,9,2018-09-15,RSS-4,125.40,Kottayam,Kerala,Kottayam,7000,Rising,123.10,127.70,119.20,125.40
2018,10,2018-10-15,RSS-4,132.60,Kottayam,Kerala,Kottayam,8500,Rising,130.30,134.90,125.90,132.60
2018,11,2018-11-15,RSS-4,128.30,Kottayam,Kerala,Kottayam,10000,Falling,126.00,130.60,132.10,128.30
2018,12,2018-12-15,RSS-4,122.50,Kottayam,Kerala,Kottayam,11500,Falling,120.20,124.80,127.80,122.50
